iter	Passed	Remaining
1522	22487	125163
1523	22500	125141
1524	22513	125118
1525	22529	125109
1526	22544	125096
1527	22560	125084
1528	22575	125075
1529	22590	125060
1530	22605	125047
1531	22619	125027
1532	22636	125024
1533	22652	125016
1534	22666	125000
1535	22680	124979
1536	22694	124961
1537	22709	124943
1538	22724	124931
1539	22738	124916
1540	22752	124895
1541	22766	124878
1542	22779	124849
1543	22792	124827
1544	22806	124809
1545	22820	124788
1546	22833	124767
1547	22847	124745
1548	22861	124725
1549	22875	124706
1550	22888	124686
1551	22901	124659
1552	22915	124639
1553	22929	124621
1554	22943	124602
1555	22957	124582
1556	22972	124569
1557	22986	124552
1558	22999	124530
1559	23013	124508
1560	23028	124495
1561	23041	124473
1562	23055	124453
1563	23069	124432
1564	23083	124412
1565	23096	124390
1566	23110	124369
1567	23123	124348
1568	23139	124337
1569	23155	124329
1570	23170	124320
1571	23185	124306
1572	23200	124290
1573	23215	124278
1574	23231	124268
1575	23244	124247
1576	23263	124252
1577	23277	124233
1578	23292	124220
1579	23306	124202
1580	23320	124186
1581	23336	124175
1582	23350	124155
1583	23363	124134
1584	23377	124115
1585	23391	124098
1586	23405	124077
1587	23419	124057
1588	23433	124040
1589	23447	124018
1590	23460	123998
1591	23476	123990
1592	23490	123968
1593	23503	123947
1594	23516	123922
1595	23530	123903
1596	23544	123886
1597	23559	123873
1598	23573	123854
1599	23587	123835
1600	23601	123817
1601	23617	123805
1602	23631	123788
1603	23646	123776
1604	23661	123761
1605	23676	123751
1606	23692	123738
1607	23707	123724
1608	23720	123702
1609	23734	123682
1610	23747	123659
1611	23759	123632
1612	23773	123615
1613	23787	123595
1614	23801	123573
1615	23814	123554
1616	23829	123538
1617	23842	123517
1618	23856	123498
1619	23872	123486
1620	23884	123459
1621	23897	123435
1622	23910	123411
1623	23923	123388
1624	23936	123367
1625	23951	123349
1626	23965	123330
1627	23979	123312
1628	23993	123294
1629	24006	123274
1630	24020	123256
1631	24035	123239
1632	24049	123220
1633	24061	123194
1634	24073	123166
1635	24088	123149
1636	24103	123140
1637	24119	123128
1638	24132	123106
1639	24146	123089
1640	24160	123071
1641	24174	123051
1642	24190	123040
1643	24205	123029
1644	24220	123017
1645	24237	123011
1646	24252	123001
1647	24267	122989
1648	24283	122976
1649	24298	122964
1650	24313	122951
1651	24327	122932
1652	24341	122916
1653	24357	122906
1654	24371	122886
1655	24385	122872
1656	24400	122855
1657	24414	122838
1658	24430	122828
1659	24444	122812
1660	24459	122799
1661	24473	122779
1662	24487	122759
1663	24501	122741
1664	24515	122727
1665	24530	122713
1666	24546	122700
